A,76
tileable,1
switch,4
module,1
architecture,12
for,113
homogeneous,2
3D,5
FPGAs,22
novel,9
synthesis,18
algorithm,19
reversible,10
circuits,19
Rulebased,2
optimization,4
of,164
On,4
the,42
Behavior,4
Substitutionbased,3
Reversible,12
Circuit,8
Synthesis,17
Algorithms,11
Investigation,4
and,113
Improvement,12
FPGABased,3
Model,4
Emulation,3
Quantum,17
reconfigurable,13
hardware,6
IP,4
address,2
lookup,4
cyclebased,4
logic,11
Moving,3
forward,3
nonsearch,3
based,28
method,17
toward,3
efficient,15
CNOTbased,3
quantum,18
circuit,6
algorithms,9
Reducing,8
reconfiguration,2
time,4
computing,8
systems,17
in,90
integrated,7
temporal,4
partitioning,3
physical,7
design,24
framework,3
Reconfigurable,2
Functional,1
Unit,2
an,8
Adaptive,2
Dynamic,4
Extensible,2
Processor,2
Neutralizing,1
a,27
designforhardwaretrust,1
technique,8
LatchBased,1
Structure,2
High,4
Resolution,2
SelfReference,1
Technique,2
Hardware,3
Trojan,4
Detection,3
Algebraic,3
Characterization,3
CNOTBased,3
Circuits,7
with,17
its,3
Applications,4
on,38
Logic,6
Cellular,1
learning,5
automata,4
evolutionary,2
CLAEC,2
intrinsic,1
evolution,1
Improving,6
Latency,2
by,15
Gate,5
Exchanging,2
Multidomain,2
clock,4
skew,2
schedulingaware,2
register,2
placement,9
to,47
optimize,2
distribution,5
network,6
An,28
heterogeneous,1
functional,1
unit,2
adaptive,3
dynamic,2
extensible,3
processor,3
Parallel,4
implementation,3
cellular,3
FPGA,9
Switch,1
Box,1
Architecture,2
Mitigate,1
Bridging,1
Short,2
Faults,1
SRAMBased,1
speed,4
Serpent,1
hierarchical,5
layout,2
generation,6
Fast,3
TransformationBased,2
Algorithm,14
Evaluation,10
Thorough,3
Set,3
Metrics,4
SharedPPRM,2
MemoryEfficient,2
Representation,2
Boolean,3
Functions,2
power,19
consumption,5
routing,15
Implementation,2
VMAP,2
Variation,2
MapAware,2
Placement,5
Leakage,2
Power,21
Reduction,6
Efficient,10
Analytical,3
Approach,6
PathBased,2
Buffer,2
Insertion,5
Multilevel,2
buffer,7
block,2
planning,12
insertion,3
large,5
Geometrybased,2
signal,3
shifting,2
oneway,6
computation,6
measurement,6
patterns,4
Extracting,2
from,6
Performance,5
Timing,5
Yield,6
Enhancement,4
using,34
HighwayonChip,2
Planning,3
Design,8
space,1
exploration,1
coarse,1
grain,1
accelerator,1
Congestion,6
Prediction,7
Metric,3
Definition,3
Routing,9
Estimation,4
stepwise,1
refinement,1
floorplanning,2
designs,4
OWQS,2
OneWay,3
Computation,4
Simulator,2
process,5
variation,4
effect,2
multiple,3
configurations,2
decoderbased,1
box,2
mitigate,1
soft,2
errors,2
SRAMbased,2
congestion,15
reduction,14
contour,3
plotting,3
high,4
performance,10
DESlike,1
neural,3
approach,12
problem,1
Reconfiguration,2
Time,1
Aging,2
Mitigation,2
Considering,4
Delay,6
Temperature,2
GOWQS,2
Graphbased,2
simulator,2
Soft,2
protection,4
active,3
authentication,1
Acceleration,1
STON,1
Comparing,1
Proteins,1
model,4
estimating,1
leakage,2
resources,2
Simultaneous,4
Sizing,2
Skew,2
Scheduling,4
Statistical,4
Proposing,1
estimate,1
reduce,3
crosstalk,1
after,2
VLSI,3
implementing,1
cipher,1
true,2
prediction,9
routers,4
intelligence,2
interconfiguration,2
memory,2
usage,6
improvement,12
Using,23
Kohonen,3
map,3
regular,1
Exact,2
NQubit,2
Diagonal,3
Ring,2
Gates,7
into,2
Clifford,2
T,2
FPGAbased,1
Matsuoka,1
parameters,1
tuning,1
area,3
delay,3
fault,3
tolerance,2
TSV,3
resource,4
input,1
pad,1
replication,1
Chip,2
master,4
methodology,13
improve,7
closure,5
complexity,2
